trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
665,False,"{'a': 0.5, 'e': 0.0012640644359794382}",30,12,32.457692004370216,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
666,False,"{'a': 0.5, 'e': 0.0012514237916196437}",30,18,22.884687190668295,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
667,False,"{'a': 0.5, 'e': 0.0012389095537034473}",20,6,24.8180838581752,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
668,False,"{'a': 0.5, 'e': 0.0012265204581664128}",20,10,16.457710457244293,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
669,False,"{'a': 0.5, 'e': 0.0012142552535847487}",20,12,14.70543792211794,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
670,False,"{'a': 0.5, 'e': 0.0012021127010489012}",20,9,21.02333614456606,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
671,False,"{'a': 0.5, 'e': 0.0011900915740384122}",25,15,17.509352745093818,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
672,False,"{'a': 0.5, 'e': 0.001178190658298028}",20,14,13.226277161359262,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
673,False,"{'a': 0.5, 'e': 0.0011664087517150477}",30,17,25.85805401523285,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
674,False,"{'a': 0.5, 'e': 0.0011547446641978973}",25,13,25.354380447646236,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
675,False,"{'a': 0.5, 'e': 0.0011431972175559183}",20,2,30.24964454617271,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
676,False,"{'a': 0.5, 'e': 0.0011317652453803591}",20,10,17.682669365278578,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
677,False,"{'a': 0.5, 'e': 0.0011204475929265554}",30,13,29.300668085467194,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
678,False,"{'a': 0.5, 'e': 0.0011092431169972899}",25,8,33.24489087655128,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
679,False,"{'a': 0.5, 'e': 0.001098150685827317}",20,13,9.913616980968412,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
680,False,"{'a': 0.5, 'e': 0.0010871691789690438}",30,4,49.085044020298625,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
681,False,"{'a': 0.5, 'e': 0.0010762974871793534}",35,19,27.32979129637667,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
682,False,"{'a': 0.5, 'e': 0.0010655345123075598}",25,14,21.184735300192692,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
683,False,"{'a': 0.5, 'e': 0.0010548791671844842}",25,15,24.33845076282617,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
684,False,"{'a': 0.5, 'e': 0.0010443303755126394}",20,6,27.790938401311934,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
685,False,"{'a': 0.5, 'e': 0.001033887071757513}",25,18,15.323049796756099,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
686,False,"{'a': 0.5, 'e': 0.0010235482010399377}",20,8,22.075116008574604,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
687,False,"{'a': 0.5, 'e': 0.0010133127190295385}",20,8,20.500001100757437,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
688,False,"{'a': 0.5, 'e': 0.001003179591839243}",30,14,26.43644300127235,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
689,False,"{'a': 0.5, 'e': 0.0009931477959208507}",30,16,27.683464964174547,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
